product_id,name,category,gender,price,color,size,material,waterproof,description
OC027,Trail Performance Cap,Accessories,Unisex,24.99,Blue,One Size,Polyester,No,"A lightweight, quick-drying cap with mesh panels for ventilation during high-output activities."
OC028,Mountain Down Sweater,Jackets,Women,179.99,Red,S,700-Fill Down,No,"A lightweight down jacket that provides exceptional warmth-to-weight ratio."
OC029,Trekker Merino Wool T-Shirt,Shirts,Men,49.99,Gray,L,Merino Wool,No,"A natural fiber t-shirt that regulates temperature and resists odors for multiple days of wear."
OC030,Wilderness Camp Pillow,Camping,Unisex,29.99,Blue,One Size,Microfiber,No,"A compressible camping pillow that packs small but provides comfortable support."
OC031,Alpine Light Hoodie,Jackets,Men,89.99,Blue,M,Polyester Fleece,No,"A lightweight hoodie that works as a standalone piece in mild weather or as a mid-layer when it's cold."
OC032,Mountain Trail Skort,Bottoms,Women,69.99,Black,S,Nylon/Spandex,No,"A comfortable skort with built-in shorts, perfect for hiking and active outdoor pursuits."
OC033,Summit Chalk Bag,Climbing,Unisex,19.99,Purple,One Size,Nylon,No,"A durable chalk bag with a secure closure and adjustable waist belt for rock climbing."
OC034,Ridgeline Liner Gloves,Accessories,Men,29.99,Black,L,Polyester,No,"Thin, touchscreen-compatible liner gloves that can be worn alone or under shell mittens."
OC035,Alpine Down Booties,Footwear,Women,49.99,Navy,M,Down Insulation,No,"Insulated camp booties to keep feet warm in a tent or around the campsite."
OC036,Trail Runner Hydration Belt,Accessories,Unisex,39.99,Black,One Size,Nylon,No,"A comfortable belt with two water bottles and a zippered pocket for essentials."
OC037,Mountain Windbreaker,Jackets,Men,79.99,Yellow,XL,Ripstop Nylon,No,"An ultralight, packable windbreaker that protects from wind and light precipitation."
OC038,Wilderness Zip-Off Pants,Pants,Women,99.99,Khaki,M,Nylon,No,"Versatile pants with zip-off legs, converting quickly from pants to shorts as conditions change."
OC039,Alpine Tech Tee,Shirts,Men,39.99,Blue,L,Polyester,No,"A moisture-wicking performance t-shirt for high-output activities in warm conditions."
OC040,Trekker Sun Hoodie,Shirts,Women,59.99,White,M,Nylon/Spandex,No,"A lightweight hoodie with UPF 50+ protection for sunny days on the trail or water."
OC041,Summit Climbing Harness,Climbing,Unisex,79.99,Blue,M,Nylon,No,"A comfortable, adjustable climbing harness with four gear loops and a haul loop."
OC042,Ridgeline Rain Jacket,Jackets,Men,149.99,Green,L,Nylon,Yes,"A fully seam-sealed rain jacket with pit zips for ventilation during active pursuits."
OC043,Alpine Trail Gaiters,Accessories,Women,34.99,Black,S-M,Nylon,Yes,"Low-profile trail gaiters that keep debris out of your shoes on dusty or muddy trails."
OC044,Mountain Camp Stove,Camping,Unisex,149.99,Silver,One Size,Stainless Steel,No,"A compact backpacking stove that boils water quickly and simmers precisely for cooking."
OC045,Wilderness Beanie,Accessories,Men,29.99,Gray,One Size,Merino Wool,No,"A warm, non-itchy beanie that provides insulation in cold conditions."
OC046,Trail Performance Socks,Socks,Women,22.99,Pink,M,Synthetic Blend,No,"Technical hiking socks with targeted cushioning and arch support for all-day comfort."
OC047,Alpine Climbing Pants,Pants,Men,129.99,Gray,32,Nylon/Spandex,No,"Stretchy, abrasion-resistant pants designed for technical climbing and scrambling."
OC048,Summit Water Bottle,Accessories,Unisex,29.99,Blue,32oz,Stainless Steel,No,"A vacuum-insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours."
OC049,Ridgeline Fleece Vest,Vests,Women,69.99,Purple,M,Polyester Fleece,No,"A warm fleece vest that provides core warmth without restricting arm movement."
OC050,Trekker Approach Pants,Pants,Men,99.99,Brown,L,Cotton/Nylon,No,"Durable pants with articulated knees and reinforced seat for approaching climbing areas."
OC051,Alpine Light Pullover,Shirts,Women,69.99,Teal,M,Polyester,No,"A lightweight quarter-zip pullover perfect for cool mornings on the trail."
OC052,Mountain Headlamp,Accessories,Unisex,49.99,Black,One Size,Plastic,No,"A bright, lightweight headlamp with multiple settings and a red light mode to preserve night vision."
OC053,Wilderness Hiking Shorts,Shorts,Men,54.99,Khaki,M,Nylon,No,"Durable shorts with plenty of pockets for carrying essentials on day hikes."
OC054,Summit Buff,Accessories,Unisex,24.99,Blue Pattern,One Size,Polyester Microfiber,No,"A versatile neck gaiter that can be worn in multiple configurations for sun and wind protection."
OC055,Alpine Technical Pants,Pants,Women,119.99,Gray,S,Nylon/Spandex,No,"Stretchy, quick-drying pants with articulated knees and a gusseted crotch for freedom of movement."
OC056,Ridgeline Trail Runners,Footwear,Men,129.99,Blue/Gray,10,Mesh/Synthetic,No,"Lightweight trail running shoes with aggressive lugs for grip on varied terrain."
OC057,Trekker Compression Socks,Socks,Unisex,34.99,Black,L,Synthetic Blend,No,"Graduated compression socks that improve circulation and reduce fatigue on long hikes."
OC058,Mountain Ultralight Tent,Camping,Unisex,379.99,Green,1-Person,Ripstop Nylon,Yes,"A freestanding ultralight tent that weighs under 3 pounds but stands up to mountain conditions."
OC059,Wilderness Base Layer Bottoms,Base Layers,Women,49.99,Black,M,Merino Wool,No,"Comfortable base layer bottoms that regulate temperature and resist odors for multi-day trips."
OC060,Alpine Technical Shirt,Shirts,Men,69.99,Blue,L,Nylon,No,"A button-up hiking shirt with UPF protection and ventilation features for hot weather."
OC061,Summit Carabiner Set,Climbing,Unisex,39.99,Assorted,One Size,Aluminum,No,"A set of four lightweight wiregate carabiners for climbing or general outdoor use."
OC062,Ridgeline Insulated Jacket,Jackets,Women,199.99,Purple,M,Synthetic Insulation,Yes,"A water-resistant insulated jacket that maintains warmth even when wet."
OC063,Trekker Trekking Pants,Pants,Men,109.99,Brown,L,Nylon/Spandex,No,"Technical hiking pants with reinforced knees and seat for durability on rough terrain."
OC064,Mountain Dry Sack,Accessories,Unisex,24.99,Blue,10L,Nylon,Yes,"A waterproof stuff sack for keeping essential gear dry in wet conditions."
OC065,Wilderness Polarized Glasses,Accessories,Women,99.99,Tortoise,One Size,Polycarbonate,No,"Polarized sunglasses with wrap-around design to block wind and side glare."
OC066,Alpine Technical Hoodie,Jackets,Men,119.99,Gray,L,Polyester/Elastane,No,"A technical hoodie with thumbholes and zippered pockets, perfect for cool weather activities."
OC067,Summit Insulated Skirt,Bottoms,Women,89.99,Black,M,Synthetic Insulation,No,"An insulated skirt that provides warmth around the core while allowing freedom of movement."
OC068,Ridgeline Hiking Sandals,Footwear,Unisex,79.99,Brown,9,Synthetic,No,"Adjustable hiking sandals with aggressive tread for water crossings and hot weather hiking."
OC069,Trekker Camp Chair,Camping,Unisex,49.99,Blue,One Size,Aluminum/Polyester,No,"A collapsible, lightweight camp chair that packs down small for backpacking trips."
OC070,Mountain Sun Sleeves,Accessories,Men,29.99,White,L,Nylon/Spandex,No,"UPF 50+ arm sleeves that protect from sun exposure and are easily removed as temperatures change."
OC071,Wilderness Snow Pants,Pants,Women,179.99,Black,M,Nylon,Yes,"Insulated snow pants with reinforced knees and ankles for winter hiking and snowshoeing."
OC072,Alpine Camp Sandals,Footwear,Men,39.99,Black,L,EVA Foam,No,"Lightweight camp sandals for giving feet a break after a long day of hiking."
OC073,Summit Compression Shorts,Shorts,Women,49.99,Black,S,Nylon/Spandex,No,"Supportive compression shorts that prevent chafing during high-output activities."
OC074,Ridgeline Tech Gloves,Accessories,Unisex,39.99,Gray,M,Synthetic,No,"Lightweight technical gloves with touchscreen capability and silicone grip palms."
OC075,Trekker Trucker Hat,Accessories,Men,29.99,Gray/Black,One Size,Polyester/Mesh,No,"A classic trucker hat with a breathable mesh back for ventilation."
OC076,Mountain Wool Hoodie,Jackets,Women,149.99,Navy,M,Merino Wool,No,"A technical merino wool hoodie that regulates temperature across a wide range of conditions."
OC077,Wilderness Camp Slippers,Footwear,Unisex,34.99,Black,M,Synthetic Insulation,No,"Packable insulated slippers for keeping feet warm around camp."
OC078,Alpine Climbing Shorts,Shorts,Men,69.99,Gray,L,Nylon/Spandex,No,"Stretchy shorts designed for freedom of movement while rock climbing or bouldering."
OC079,Summit First Aid Kit,Accessories,Unisex,29.99,Red,One Size,Nylon,No,"A comprehensive first aid kit in a waterproof pouch for outdoor adventures."
OC080,Ridgeline Wool Beanie,Accessories,Women,34.99,Purple,One Size,Merino Wool,No,"A soft, non-itchy beanie with a subtle pattern for style and warmth."
OC081,Trekker Soft Flask,Accessories,Unisex,19.99,Clear/Blue,500ml,TPU,No,"A collapsible water bottle that compresses as you drink to eliminate sloshing."
OC082,Mountain Snow Jacket,Jackets,Men,299.99,Blue,XL,Nylon,Yes,"A fully-featured snow sports jacket with powder skirt and helmet-compatible hood."
OC083,Wilderness Sun Shirt,Shirts,Women,59.99,Light Blue,M,Nylon,No,"A long-sleeve shirt with UPF 50+ protection for sun exposure in hot conditions."
OC084,Alpine Trail Skirt,Bottoms,Women,69.99,Black,S,Polyester/Spandex,No,"A comfortable athletic skirt with built-in shorts for hiking and outdoor activities."
OC085,Summit Balaclava,Accessories,Unisex,34.99,Black,One Size,Polyester Fleece,No,"A versatile balaclava that can be worn multiple ways for protection from cold and wind."
OC086,Ridgeline Running Vest,Vests,Men,89.99,Black,M,Polyester,No,"A lightweight running vest with multiple pockets for carrying essentials on long runs."
OC087,Trekker Waterproof Duffel,Bags,Unisex,149.99,Yellow,60L,Tarpaulin,Yes,"A rugged waterproof duffel for keeping gear dry during outdoor adventures."
OC088,Mountain Approach Gloves,Accessories,Women,59.99,Tan,S,Leather,No,"Durable approach gloves for protection while scrambling over rough terrain."
OC089,Wilderness Insulated Pants,Pants,Men,179.99,Black,L,Synthetic Insulation,Yes,"Insulated pants for cold weather hiking, snowshoeing, or around camp."
OC090,Alpine Baselayer Tank,Shirts,Women,39.99,White,M,Polyester,No,"A moisture-wicking tank top for layering or wearing alone in hot conditions."
OC091,Summit Climbing Shoes,Footwear,Unisex,119.99,Blue,9,Synthetic,No,"Comfortable climbing shoes for all-day wear on moderate routes and in the gym."
OC092,Ridgeline Wool Socks,Socks,Men,24.99,Gray,L,Merino Wool,No,"Mid-weight wool socks that provide cushioning and natural temperature regulation."
OC093,Trekker Rain Hat,Accessories,Unisex,34.99,Green,One Size,Nylon,Yes,"A waterproof hat with a wide brim to keep rain off your face and neck."
OC094,Mountain Fleece Pants,Pants,Women,89.99,Black,M,Polyester Fleece,No,"Cozy fleece pants for lounging at camp or as a mid layer in cold conditions."
OC095,Wilderness Dry Bag,Accessories,Unisex,34.99,Orange,20L,PVC,Yes,"A roll-top dry bag for keeping gear protected during water sports or rainy conditions."
OC096,Alpine Neck Gaiter,Accessories,Men,24.99,Gray,One Size,Polyester,No,"A versatile neck gaiter for protection from sun, wind, and cold."
OC097,Summit Sport Shorts,Shorts,Women,49.99,Black,M,Polyester,No,"Lightweight, quick-drying shorts with a built-in liner for active pursuits."
OC098,Ridgeline Trail Shirt,Shirts,Men,59.99,Plaid Blue,L,Nylon/Polyester,No,"A technical button-up shirt with ventilation features for hiking and travel."
OC099,Trekker Camp Towel,Accessories,Unisex,29.99,Blue,Large,Microfiber,No,"An ultra-absorbent, quick-drying towel that packs down small for backpacking."
OC100,Mountain Compression Sleeves,Accessories,Women,29.99,Black,S-M,Nylon/Spandex,No,"Calf compression sleeves that improve circulation and reduce fatigue on long hikes."
OC101,Wilderness Fleece Jacket,Jackets,Men,99.99,Navy,XL,Polyester Fleece,No,"A classic fleece jacket that provides warmth and comfort in cool conditions."
OC102,Alpine Tech Leggings,Bottoms,Women,79.99,Black,M,Nylon/Spandex,No,"Performance leggings with side pockets, perfect for hiking or yoga."
OC103,Summit Stuff Sack Set,Accessories,Unisex,29.99,Assorted,Assorted,Nylon,No,"A set of three ultralight stuff sacks for organizing gear inside your pack."
OC104,Ridgeline Down Slippers,Footwear,Men,59.99,Black,L,Down Insulation,No,"Insulated camp slippers with a durable sole for use inside a tent or around camp."
OC105,Trekker Belt,Accessories,Unisex,29.99,Black,One Size,Nylon,No,"A lightweight belt with a low-profile plastic buckle that won't dig in under a backpack."
OC106,Mountain Travel Pants,Pants,Women,89.99,Gray,S,Nylon/Spandex,No,"Versatile pants that look good in town but perform well on the trail."
OC107,Wilderness Woolen Shirt,Shirts,Men,89.99,Red Plaid,L,Wool Blend,No,"A classic wool shirt that provides warmth and natural odor resistance."
OC108,Alpine Tech Polo,Shirts,Men,59.99,Blue,M,Polyester,No,"A moisture-wicking polo shirt for hiking or casual wear."
OC109,Summit Traction Devices,Accessories,Unisex,69.99,Black,M,Stainless Steel,No,"Removable spike systems that attach to boots for traction on ice and snow."
OC110,Ridgeline Yoga Pants,Bottoms,Women,79.99,Gray,S,Nylon/Spandex,No,"Comfortable, stretchy pants perfect for yoga or casual wear."
OC111,Trekker Packable Jacket,Jackets,Men,129.99,Blue,L,Nylon,Yes,"An ultralight, packable rain jacket that stows in its own pocket."
OC112,Mountain Mitt Shells,Accessories,Unisex,49.99,Black,L,Nylon,Yes,"Waterproof shell mittens designed to wear over liner gloves in wet conditions."
OC113,Wilderness Wool Cap,Accessories,Women,39.99,Gray,One Size,Wool,No,"A classic wool cap with a small brim for sun protection and style."
OC114,Alpine Trail Shoes,Footwear,Men,119.99,Gray/Green,10,Synthetic/Mesh,No,"Lightweight hiking shoes with good support for day hikes and light backpacking."
OC115,Summit Rain Chaps,Accessories,Unisex,79.99,Black,M-L,Nylon,Yes,"Waterproof leg coverings that protect your pants while allowing ventilation."
OC116,Ridgeline Thermal Top,Base Layers,Women,59.99,Purple,M,Synthetic Blend,No,"A warm base layer top with a zip neck for temperature regulation."
OC117,Trekker Bandana,Accessories,Unisex,14.99,Red Pattern,One Size,Cotton,No,"A classic bandana for multiple uses from sun protection to emergency bandage."
OC118,Mountain Bike Shorts,Shorts,Men,79.99,Black,L,Nylon,No,"Durable shorts with a removable padded liner for mountain biking."
OC119,Wilderness Hiking Pants,Pants,Women,89.99,Green,M,Nylon/Spandex,No,"Comfortable, quick-drying pants with articulated knees for freedom of movement."
OC120,Alpine Tech Mittens,Accessories,Men,49.99,Black,L,Synthetic Insulation,Yes,"Warm, waterproof mittens for cold conditions when dexterity isn't a priority."
OC121,Summit Base Layer Set,Base Layers,Women,99.99,Black,S,Synthetic Blend,No,"A matching set of base layer top and bottoms for consistent warmth and moisture management."
OC122,Ridgeline Map Case,Accessories,Unisex,19.99,Clear,One Size,TPU,Yes,"A waterproof case for protecting paper maps and electronic devices."
OC123,Trekker Sun Hat,Accessories,Men,39.99,Khaki,L,Nylon,No,"A wide-brimmed sun hat with a neck cape for maximum sun protection."
OC124,Mountain Windshirt,Shirts,Women,79.99,Blue,M,Nylon,No,"A lightweight, wind-resistant pullover for cool, breezy conditions."
OC125,Wilderness Zip Hoodie,Jackets,Men,89.99,Gray,XL,Cotton/Polyester,No,"A comfortable full-zip hoodie for casual wear and light outdoor activities."
OC126,Alpine Travel Shorts,Shorts,Women,69.99,Khaki,M,Nylon,No,"Quick-drying shorts with a hidden security pocket, perfect for travel and hiking."
OC127,Summit Stuff Sack Pillow,Camping,Unisex,24.99,Blue,One Size,Nylon/Microfiber,No,"A stuff sack that converts to a comfortable pillow by turning inside out and adding clothes."
OC128,Ridgeline Sport Bra,Underwear,Women,49.99,Black,M,Nylon/Spandex,No,"A supportive sports bra designed for high-impact activities."
OC129,Trekker Convertible Belt,Accessories,Unisex,39.99,Black,One Size,Nylon,No,"A belt with a hidden zippered pocket and buckle that doubles as a bottle opener."
OC130,Mountain Primaloft Jacket,Jackets,Men,179.99,Blue,L,Synthetic Insulation,No,"A warm synthetic insulated jacket that maintains warmth even when wet."
OC131,Wilderness Trail Skirt,Bottoms,Women,59.99,Gray,S,Polyester/Spandex,No,"An athletic skirt with built-in shorts and side pockets for hiking and running."
OC132,Alpine Trekking Umbrella,Accessories,Unisex,49.99,Green,One Size,Nylon,Yes,"A lightweight, wind-resistant umbrella for rain protection on the trail."
OC133,Summit Wool Buff,Accessories,Men,34.99,Gray,One Size,Merino Wool,No,"A versatile merino wool neck gaiter for comfort across a wide temperature range."
OC134,Ridgeline Guide Pants,Pants,Women,149.99,Gray,M,Nylon,Yes,"Durable, water-resistant pants designed for professional guides and serious enthusiasts."
OC135,Trekker Lightweight Tee,Shirts,Men,39.99,Green,L,Polyester,No,"A moisture-wicking t-shirt with odor control technology for multi-day trips."
OC136,Mountain Compression Calf Sleeves,Accessories,Unisex,29.99,Black,M,Nylon/Spandex,No,"Supportive calf sleeves that improve circulation and reduce fatigue."
OC137,Wilderness Convertible Vest,Vests,Women,129.99,Blue,M,Nylon,No,"A versatile vest with removable sleeves, converting quickly to a jacket as needed."
OC138,Alpine Hiking Gaiters,Accessories,Men,39.99,Black,L,Nylon,Yes,"Waterproof gaiters that keep snow and debris out of your boots."
OC139,Summit Wool Joggers,Pants,Women,99.99,Gray,S,Merino Wool,No,"Comfortable merino wool joggers for camp lounging with natural temperature regulation."
OC140,Ridgeline Camp Moccasins,Footwear,Men,59.99,Brown,10,Suede,No,"Packable camp shoes that give your feet a break after a day of hiking."
OC141,Trekker Tech Hat,Accessories,Unisex,29.99,Gray,One Size,Polyester,No,"A lightweight, quick-drying hat with mesh panels for ventilation."
OC142,Mountain Puffer Vest,Vests,Women,119.99,Purple,M,Down Insulation,No,"A lightweight insulated vest that adds core warmth without bulk."
OC143,Wilderness Adventure Pants,Pants,Men,119.99,Brown,32,Cotton/Nylon,No,"Rugged pants with reinforced knees and seat for durability in tough conditions."
OC144,Alpine Merino Quarter Zip,Shirts,Women,89.99,Blue,S,Merino Wool,No,"A versatile merino wool pullover for temperature regulation in variable conditions."
OC145,Summit Headband,Accessories,Unisex,19.99,Black,One Size,Polyester Fleece,No,"A warm headband that keeps ears protected while allowing heat to escape from your head."
OC146,Ridgeline Packable Pants,Pants,Men,99.99,Black,L,Nylon,Yes,"Ultralight, waterproof pants that pack down tiny for emergency weather protection."
OC147,Trekker Multi-Tool,Accessories,Unisex,49.99,Silver,One Size,Stainless Steel,No,"A compact multi-tool with 12 functions for outdoor repairs and camp tasks."
OC148,Mountain Athletic Shorts,Shorts,Women,49.99,Black,M,Polyester,No,"Lightweight, quick-drying shorts with a built-in brief for active pursuits."
OC149,Wilderness Camp Mug,Accessories,Unisex,14.99,Green,One Size,Enamel,No,"A durable enamel mug for enjoying hot beverages around the campfire."
OC150,Alpine Trekking Poles - Pair,Accessories,Unisex,89.99,Black/Red,Adjustable,Aluminum,No,"Lightweight and adjustable trekking poles for stability on varied terrain."
OC151,Summit Merino Wool Socks - 2 Pack,Socks,Unisex,39.99,Gray/Blue,M,Merino Wool,No,"A two-pack of comfortable and moisture-wicking merino wool socks."
OC152,Ridgeline Hiking Daypack - 30L,Backpacks,Unisex,79.99,Navy,One Size,Recycled Polyester,Yes,"A versatile 30L daypack with multiple compartments and hydration compatibility."
OC153,Trekker Camp Lantern,Camping,Unisex,59.99,Orange,One Size,Plastic,No,"A bright and portable LED lantern for illuminating your campsite."
OC154,Mountain Guide Jacket,Jackets,Men,279.99,Red,L,Gore-Tex Pro,Yes,"A durable and waterproof jacket designed for professional mountain guides."
OC155,Wilderness Trail Running Shoes,Footwear,Men,139.99,Gray/Orange,10,Synthetic/Mesh,No,"Lightweight trail running shoes with aggressive tread for varied terrain."
OC156,Alpine Climbing Gloves,Accessories,Unisex,69.99,Black,M,Leather/Synthetic,Yes,"Durable and insulated gloves for climbing in cold conditions."
OC157,Summit Sleeping Pad,Camping,Unisex,129.99,Green,Regular,Synthetic,No,"A lightweight and compact sleeping pad for comfortable nights in the backcountry."
OC158,Ridgeline Hiking Pants - Women's,Pants,Women,99.99,Gray,S,Nylon/Spandex,No,"Comfortable and quick-drying hiking pants with articulated knees for freedom of movement."
OC159,Trekker Hydration Reservoir - 3L,Accessories,Unisex,34.99,Blue,One Size,TPU,No,"A 3L hydration reservoir with a wide opening for easy filling and cleaning."
OC160,Mountain Sun Hat - UPF 50+,Accessories,Unisex,39.99,Khaki,One Size,Nylon,No,"A wide-brimmed sun hat with UPF 50+ protection and a moisture-wicking sweatband."
OC161,Wilderness Camp Axe,Camping,Unisex,69.99,Silver/Wood,One Size,Steel/Wood,No,"A compact and durable camp axe for splitting firewood."
OC162,Alpine Merino Wool Base Layer Top - Men's,Base Layers,Men,69.99,Black,L,Merino Wool,No,"A comfortable and moisture-wicking merino wool base layer top."
OC163,Summit Climbing Helmet,Climbing,Unisex,99.99,White,One Size,Polycarbonate,No,"A lightweight and durable climbing helmet with adjustable straps."
OC164,Ridgeline Hiking Boots - Women's,Footwear,Women,169.99,Brown,8,Leather/Synthetic,Yes,"Waterproof hiking boots with excellent ankle support and grip."
OC165,Trekker Camp Cookset,Camping,Unisex,79.99,Silver,One Size,Aluminum,No,"A compact and lightweight cookset for preparing meals in the backcountry."
OC166,Mountain Guide Rain Pants,Pants,Unisex,159.99,Black,M,Gore-Tex Pro,Yes,"Durable and waterproof rain pants designed for professional mountain guides."
OC167,Wilderness First Aid Kit - Comprehensive,Accessories,Unisex,59.99,Red,One Size,Nylon,No,"A comprehensive first aid kit for treating injuries in the backcountry."
OC168,Alpine Merino Wool Beanie,Accessories,Unisex,34.99,Gray,One Size,Merino Wool,No,"A warm and comfortable merino wool beanie for cold conditions."
OC169,Summit Climbing Rope - 60m,Climbing,Unisex,249.99,Blue,60m,Nylon,No,"A durable and reliable climbing rope for all types of climbing."
OC170,Ridgeline Hiking Shorts - Men's,Shorts,Men,59.99,Khaki,L,Nylon,No,"Lightweight and quick-drying hiking shorts with multiple pockets."
OC171,Trekker Camp Pillow - Inflatable,Camping,Unisex,29.99,Blue,One Size,TPU,No,"A compact and inflatable camp pillow for comfortable sleep in the backcountry."
OC172,Mountain Guide Gloves,Accessories,Unisex,89.99,Black,M,Leather/Synthetic,Yes,"Durable and insulated gloves for professional mountain guides."
OC173,Wilderness Hydration Pack - 3L,Backpacks,Unisex,99.99,Green,One Size,Recycled Polyester,Yes,"A 3L hydration pack with additional storage for essentials."
OC174,Alpine Merino Wool Base Layer Bottoms - Women's,Base Layers,Women,69.99,Black,S,Merino Wool,No,"Comfortable and moisture-wicking merino wool base layer bottoms."
OC175,Summit Climbing Harness - Adjustable,Climbing,Unisex,89.99,Blue/Gray,M,Nylon,No,"A comfortable and adjustable climbing harness with gear loops."
OC176,Ridgeline Hiking Socks - Women's,Socks,Women,24.99,Pink/Gray,M,Synthetic Blend,No,"Technical hiking socks with targeted cushioning and arch support."
OC177,Trekker Camp Chair - Lightweight,Camping,Unisex,69.99,Green,One Size,Aluminum/Polyester,No,"A lightweight and collapsible camp chair for comfortable seating."
OC178,Mountain Guide Rain Jacket,Jackets,Unisex,299.99,Red,L,Gore-Tex Pro,Yes,"A durable and waterproof rain jacket designed for professional mountain guides."
OC179,Wilderness Trail Running Vest,Backpacks,Unisex,79.99,Black,One Size,Recycled Polyester,Yes,"A lightweight trail running vest with multiple pockets for essentials."
OC180,Alpine Merino Wool T-Shirt - Men's,Shirts,Men,49.99,Blue,L,Merino Wool,No,"A comfortable and moisture-wicking merino wool t-shirt."
OC181,Summit Climbing Shoes - Beginner,Footwear,Unisex,89.99,Blue/Gray,9,Synthetic,No,"Comfortable climbing shoes for beginners and all-day wear."
OC182,Ridgeline Hiking Hat - Wide Brim,Accessories,Unisex,34.99,Khaki,One Size,Nylon,No,"A wide-brimmed hiking hat with UPF 50+ protection."
OC183,Trekker Camp Table - Folding,Camping,Unisex,49.99,Silver,One Size,Aluminum,No,"A compact and folding camp table for preparing meals and organizing gear."
OC184,Mountain Guide Pants,Pants,Unisex,179.99,Black,M,Gore-Tex Pro,Yes,"Durable and waterproof pants designed for professional mountain guides."
OC185,Wilderness First Aid Kit - Basic,Accessories,Unisex,39.99,Red,One Size,Nylon,No,"A basic first aid kit for treating minor injuries in the backcountry."
